area_code,area_name,period,value,indicator,measure,unit,group
E92000001,England,2014/15,0.91193270121568937,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2014/15,1.302710965472816,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2014/15,30.603675796841621,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2014/15,37.213679976061073,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2014/15,8.696628513032671,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2014/15,11.003946090245625,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2014/15,6.8715935376975716,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2014/15,7.3102906427395329,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2015/16,67.432622553930003,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2015/16,82.330722828238876,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2015/16,17.205415845294343,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2015/16,18.930648912155238,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2015/16,1.848476648527712,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2015/16,2.131772084993973,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2015/16,0.92290355780251265,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2015/16,1.2915169023520185,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2015/16,30.656989726422214,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2015/16,38.737815109429135,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2015/16,9.2685998969965322,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2015/16,12.541193198987738,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2015/16,7.5302368788866785,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2015/16,8.69777662032077,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2016/17,74.338913064933152,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2016/17,97.123583478242878,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2016/17,19.999168770704411,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2016/17,24.366225771300613,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2016/17,2.0956141118932829,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2016/17,2.4774719981757558,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2016/17,1.064115869640248,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2016/17,1.7062349288330465,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2016/17,32.515211322708311,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2016/17,42.010270815321768,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2016/17,9.6202470371850257,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2016/17,13.649879430664372,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2016/17,9.0445559528018737,Offence rate,"Rate per 1,000",Offences,Other crimes against society
